cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2014/t4,5713625,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2015/t1,5919154,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2015/t2,5768747,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2015/t3,5948590,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2015/t4,5803405,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2016/t1,5891612,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2016/t2,5769932,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2016/t3,5407790,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2016/t4,5783672,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2017/t1,5640206,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2017/t2,5687545,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2017/t3,5358606,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2017/t4,5529957,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2018/t1,5656689,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2018/t2,5459372,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2018/t3,5481723,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2018/t4,5731676,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2019/t1,5557244,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2019/t2,5568053,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2019/t3,5785946,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2019/t4,5735592,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2020/t1,5679187,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2020/t2,ND,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2020/t3,10722254,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2020/t4,8820594,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2021/t1,8353845,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2021/t2,7913168,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2021/t3,7752876,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2021/t4,7459867,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2022/t1,7591225,Número de personas
